"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Impressions,Reach,Likes,Shares,Comments,Saves,Plays,Follows
18109907830360870,17841463906774827,nadraqamaria,"Nadra Qamaria","Welcome to my office, and yes, it is indeed my own bedroom. That's The Nadra Agency (TNA) for you! We're remote design partners, crafting websites for small businesses with passion (and maybe a pastry or two). 🥐🥐

Ditch the ordinary, design extraordinary. Take action and book a free 45-minute discovery call with me today #remoteagency #smallbusinesswebdesign #userexperience #highconverting #setup #workfromhome #partnerforlife #agency #webdesign #designprinciples #discoverycall",0,"01/07/2024 05:28",https://www.instagram.com/p/C1zPvEdPPfr/,"IG image",,Lifetime,191,160,12,0,3,1,,
18030983122912610,17841463906774827,nadraqamaria,"Nadra Qamaria","Meet Iffah, a talented digital film & television student!  We helped her showcase her work with a user-friendly website, designed with conversion in mind.

At TNA, we offer a one-stop shop for your web design needs - from user research and SEO to copywriting and e-commerce development.

Let's create a website that converts! Get in touch with TNA today.

#aseanstartups #webdesign #userexperience #conversionrates #singapore #ecommerce #seo #copywriting #entrepreneur #digitalfilm",0,"03/28/2024 04:00",https://www.instagram.com/p/C5DjN6wN9uW/,"IG image",,Lifetime,144,123,8,0,0,0,,
18004585370385213,17841463906774827,nadraqamaria,"Nadra Qamaria","No one tells you about how BORING it is to maintain a business. 💤

The most exciting part of business is probably when you get your first customer.

But before even achieving that, slow and meticulous work is still needed in the beginning.

So if you favour only the wins but fear the mundane, then steer away from entrepreneurship.

Read on to know 3 more truths about starting and running my web agency solo 👇🏽

1️⃣ Client acquisition is not only about volume, but also about continuous iteration on strategy — Conduct research on the most common pain points that your target customers face, then personalise your messages to solve those problems.

2️⃣ It’s ok to have a boring business — Boring means simple. The simpler your business idea is, the more customers you can get. Why? Because it’s extremely easy for them to understand how they can benefit from your service/product.

3️⃣ Network is everything as a beginner — This was how I got my first clients and gained invaluable lessons that I can immediately apply into my own entrepreneurial pursuit. Making new friends is probably my favourite part of running a business!

Do you have any lessons you learnt from your own entrepreneurial journey? I would love to hear them. 👂🏽

#startupchallenges #solopreneur #webagency #beyourownboss #mythbuster #startupculture #lessonslearnt #boringbusiness #dropshipping #ecommerce",0,"03/27/2024 08:00",https://www.instagram.com/p/C5BZ5bAIkrC/,"IG carousel",,Lifetime,82,60,9,0,6,1,,
18319122193135956,17841463906774827,nadraqamaria,"Nadra Qamaria","The REAL secret to skyrocketing conversions lies in understanding the Customer Buying Journey 🛒

Here's how to map it on your landing page:

1️⃣ Awareness: Introduce your brand and value proposition clearly. (Did you know first impressions matter? 80% of website visitors judge your brand based on design alone!)

2️⃣ Consideration: Address their pain points and highlight how your product solves them.

3️⃣ Decision: Make it easy to take the next step! Clear CTAs and trust signals, like testimonials & reviews, are key.

By guiding users through this journey, you easily build trust, address concerns, and ultimately drive conversions. Great web design starts from putting your customers first! ☝🏽

#startuplife #entrepreneur #conversionrates #landingpageoptimization #landingpage #aseanstartups #webdesign #userexperience #marketingtips #growyourbusiness",3,"03/26/2024 04:01",https://www.instagram.com/reel/C4-ZsqOrLn0/,"IG reel",,Lifetime,239,224,7,0,1,0,460,
18336284941113183,17841463906774827,nadraqamaria,"Nadra Qamaria","Why hire a web designer when you can build the website yourself? 😉

Here are my favourite low-code web builders for founders who are going solo, or teams that may not have 5 years to learn how to code.

However, if I had to choose among Durable, Shopify, Webflow, and Wordpress, I would go for Webflow 100%. 🏆

My experience with Webflow has been positive so far because I have extensive background knowledge in HTML and CSS, thanks to the loads of free time I had after Secondary school graduation. 😅

Which web builder do YOU love the most?

#shopify #durable #artificialintelligence #wordpress #webflow #lowcode #webbuilder #solopreneur #startupculture #webdevelopment #entrepreneurship #startups #asean #thenadraagency",0,"03/22/2024 03:00",https://www.instagram.com/p/C4z_mcTP8HG/,"IG carousel",,Lifetime,69,47,10,0,2,3,,
18012489029468680,17841463906774827,nadraqamaria,"Nadra Qamaria","I help ASEAN startups unlock explosive reach online with web design. 📈

Lumitics from Singapore tackles food waste with data management tools that can be installed in any business. 🍗

Greenhope from Indonesia makes biodegradable products for sustainable packaging (seriously, it's made from cassava!) 🍠

CleverHeat from the Philippines makes refrigeration more accessible and affordable to farmers, fishermen and small businesses. (fresh food for everyone!) ❄️

These startups aren't just pipe dreams — they're real businesses making a real difference. The coolest part? They're founded by passionate people who are just like you.

ASEAN's booming startup scene is bursting with opportunities to make a positive impact. 💥

So don’t fear! Be the change you want to see in the world, and let me be the growth partner who helps your startup get noticed by millions. ❤️

#aseanstartups #makeadifference #sustainability #innovation #changemakers #entrepreneurlife #ecofriendly #renewableenergy #futureofwork #bethechange",0,"03/21/2024 03:00",https://www.instagram.com/p/C4xaxC0CAkj/,"IG carousel",,Lifetime,64,48,11,0,0,0,,
18091582729410762,17841463906774827,nadraqamaria,"Nadra Qamaria","… But why do I still do what I do? 😵‍💫

I’ve been in the startup scene since 2021 and fell in love with the adventures that founders frequently experience.

In the past, I attempted to establish a local clothing brand, an e-commerce store, and a social enterprise.

All of them ceased operations because I began without a plan, the brand mission was too weak, and the startup had no solid product or service to offer. 📉

Despite my endeavours, the startup scene in Southeast Asia continues to grow every single day, so I had no rush to start something up again.

I stepped back from entrepreneurship for a bit to focus on my studies, and realised that my calling had been with me all this time. It was web design!

An eureka moment; I could still remain in the startup space but instead of launching my own, why not I help other startups grow instead? 💡

I could never let go of entrepreneurship. I love the energy, the impact, the satisfaction, and the failures that come with being a founder.

↓

That’s why I don’t want to be the best web design agency in the world. Instead, I want to be the best web design agency for YOU! 🫵🏽

Startups are different from established companies. They have different problems and different needs.

Being in the startup culture for a while, I have gained knowledge from watching countless business pitches and participating in some. 🧠

So look no further for a web designer who can offer your startup the web services that it needs.

If you want to learn more about how TNA can help you unlock explosive online reach with web design, DM me “GROW” to start. I’m an ENTJ so I’m really friendly 😁

Not looking for my services right now? Follow me (@nadraqamaria) for more web wisdom and startup content. ❤️

#forstartups #founderstory #thenadraagency #webdesign #uxdesign #industrysecrets #entrepreneurship #asean #venturecapitalist #startupsuccess",3,"03/20/2024 04:01",https://www.instagram.com/reel/C4u88aYrevL/,"IG reel",,Lifetime,272,208,13,1,0,0,436,2
18115386775359515,17841463906774827,nadraqamaria,"Nadra Qamaria","Are your users struggling with your awkward website navigation? 😵‍💫🌀

Don't worry, the solution is easier than you think! Read on to stay ahead of the web game ;)

1️⃣ Showcase who you are from the very first click: Make your logo prominent and recognizable. Include a clear tagline that briefly explains what your business offers.

2️⃣ Highlight the most important pages: Feature an ""About Us"" page that tells your story, builds trust, and showcases your values. Include a dedicated ""Services"" page that clearly outlines what your business offers and the problems you solve.

3️⃣ Optimize your navigation for conversions: Use clear and concise calls to action (CTAs) that tell visitors exactly what you want them to do next, whether it's ""Contact Us,"" ""Get a Quote,"" or ""Learn More.""

With these key steps, you can create a web navigation system that intuitively guides users towards achieving their goals (and buying more of your services/products). 👆

A well-designed website navigation is a silent salesperson, working tirelessly to attract and convert visitors!

Ready to transform your website navigation and elevate your online presence? DM me “NAV” to start making your website a pleasure for your customers.

Not ready to invest in yourself? Feel free to follow me (@nadraqamaria) for more website wisdom and industry secrets. 😎

#webdesign #websitetips #navigation #conversionrate #userexperience #branding #contactinfo",3,"02/29/2024 03:01",https://www.instagram.com/reel/C37dBbxKkcy/,"IG reel",,Lifetime,58,48,5,0,0,0,117,
18228396901269133,17841463906774827,nadraqamaria,"Nadra Qamaria","Listen here, startups! 📢

At The Nadra Agency (TNA), we believe in seamless collaboration to bring your dream website to life. Here's how we work:

👋🏽 Discovery — We chat with you to understand your goals, challenges, and vision for your startup. You’ll receive a website package tailored specially for your business needs and budget.

🔍 Research— This stage is crucial. The goal is to understand your niche and target audience to help produce a personalised user experience (and make your website irresistible to customers)!

👩🏽‍💻 Design & Development — With industry-standard tools like Figma and Wordpress, we bring your website to life with that TNA magic.

🚀 Launch — We publish your website together and provide complimentary ongoing web support for 7 days.

When you work with me, you’ll get yourself a results-driven web designer, as well as a dedicated growth partner. Mark my words. 🤝

Are you ready to unlock explosive online reach for your rapidly growing startup? DM me “COLLAB” to start your 100% free discovery call today.

#webdesign #digitalmarketing #branding #agencylife #clientsuccess #collaboration #startups #asean",0,"02/28/2024 05:00",https://www.instagram.com/p/C35F8cwJQ7o/,"IG image",,Lifetime,50,42,5,0,0,0,,
17902863443942745,17841463906774827,nadraqamaria,"Nadra Qamaria","Struggling with web design? 😵

These 3 tools can help ANYONE create a user-friendly website in no time. 💨

1. Speak Human: Add a human touch to your technical jargon. https://www.speakhuman.today/

2. Fontjoy: Find the perfect font pairings with the help of AI. https://fontjoy.com/

3. A Fresh Website: Get inspired by leading website layouts - browsing is free. https://a-fresh.website/

Feeling inspired? Save this post for later & follow me (@nadraqamaria) for more easy web design tips. 😎

#webdesign #entrepreneur #smallbusiness #websitetips #designinspiration #toolsofthetrade #diywebsite #userfriendly #aifont #speakhuman",0,"02/27/2024 02:00",https://www.instagram.com/p/C32Mf4QrhdX/,"IG carousel",,Lifetime,56,40,9,0,0,2,,
