"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Impressions,Reach,Likes,Shares,Comments,Saves,Plays
18039137966133823,17841463906774827,nadraqamaria,"Nadra Qamaria","Startup founders bring energy that is unmatched.

They’re young, driven, and laser-focused on making their business work.

Them and I, we’re not that different. 🌱

But I get it.

As much as you’re pushing forward, the stress of trying to double your revenue can be overwhelming.

I’ve worked with startups that were on tight budgets.

They were unsure if they could afford web design services.

That’s why I introduced a pricing model designed specifically for you.

Profit-sharing.

➡️ You don’t pay until you land your first customer through the website we build.

Every lead your website generates means more revenue for you AND us.

So doubling your revenue and conversion rates is the ultimate goal. 🚀

When you win, I win too.

If that doesn't resonate with you, you might want to look for startup web services elsewhere...

Else, drop me a DM to learn more. ;)

#startupfounders #saas #webdesign #cro #conversionrateoptimization #growthhacking #bootstrapped #businessgrowth #startupjourney #websiteoptimization",3,"10/01/2024 04:00",https://www.instagram.com/reel/DAlD2oRBqUr/,"IG reel",,Lifetime,141,133,4,0,0,0,229
18345882313176050,17841463906774827,nadraqamaria,"Nadra Qamaria","2024 was a year of learning how to stay grounded.

Biggest takeaway was: small daily changes lead to big results. The pareto principle basically.

One fantastic example is my toxic attachment to my phone.

I started tracking how long I stayed on my phone before getting out of bed.

Got to cut down from 6 hours to 1 hour of average screen time in a month.

That helped me get 30+ cold emails sent and S$1000+ in agency revenue generated.

-

This year, I had the choice to continue studying or start working full-time.

Instead, I did NONE of that and spent the summer in Germany. Quirky like that.

I came back home with a fresh perspective on who I am and what I should do to live truest to myself.

Since then, I’ve doubled down on my agency and began applying to undergrad programmes.

For 2025, my goals are simple: get into university, make S$2000 in revenue for TNA in one month, and explore one new country (solo again of course).

-

I have immeasurable love for everyone in this recap reel, regardless of when, where and how I met you lmao.

//discord, dating apps, alcohol, iykyk

You helped me find myself, and I hope I returned the favour.

Here’s to progress, not perfection.

Get the thing done and let it be ugly, cause you’ll make it better later.

Share your ‘25 goals here as well, so I can watch you achieve them!

POUT AND MOVE ON!!! :))) Happy new year",52,"12/30/2024 18:53",https://www.instagram.com/reel/DEOgcyVv5b9/,"IG reel",,Lifetime,158,144,5,0,1,0,195
18297973480225034,17841463906774827,nadraqamaria,"Nadra Qamaria","Clients are new friends I haven’t met yet!

Probably the cheesiest thing I’ll say on Insta.

It’s true tho, every project with me is a collab built on open communication.

As a business owner who also outsources at times, it reassures me to know how far a project is going.

However, working with a freelancer or a white label feels quite isolating…

Maybe I’m just extroverted (ENTJ), but I love connecting with the person who is helping my business grow.

Sooo the idea to use a partner portal for every client in TNA was born!

It’s a personalised portal where clients can access everything about their project in one place.

Timelines, contracts, invoices, prototypes, and even real-time updates as I build their website!

No more guessing how close the project is to completion. It also helps to keep me and my team accountable.

At the end of the day, my goal is to deliver a killer website, earn a friendship, and grow with the startup community.

Helping founders grow allows me to continuously speak to them and learn how I can provide better startup solutions.

What services do you think are missing for small business owners?

--

The Nadra Agency (TNA) helps businesses double their revenue with high-converting landing page design.

Got a project in mind? Email us at hello@thenadraagency.com.

#startupgrowth #webdesign #foundersfirst #startuplife #collaborationiskey #clientexperience #entrepreneurjourney #growthhacking #smallbusinesssuccess #startupagency",0,"12/26/2024 03:00",https://www.instagram.com/p/DECgNQNhHpY/,"IG image",,Lifetime,28,27,6,0,0,0,
18032115629419309,17841463906774827,nadraqamaria,"Nadra Qamaria","Monkey see, monkey do.

Remember that when you’re thinking about how to make strangers click “buy.”

Remember also the quiet power of posting glowing testimonials on your website.

When collecting reviews, pay attention to the words your customers use to describe your product or service.

Highlight reviews that showcase the impact you’ve created.

Words like “boost,” “solve,” “increase,” and “transform” should be like gold to you.

When newcomers see those testimonials on your website, they’ll think:

💬 “This product isn’t kidding!”

💬 “I want to grow like them too.”

💬 “How have I only seen this solution now?”

Leave them feeling like they’re missing out.

And nothing says “you’re missing out” like proof that everyone else already loves what you do.

Now go get those testimonials, fellow entrepreneur.

p.s.: merry christmas!

--

The Nadra Agency (TNA) helps businesses double their revenue with high-converting landing page design.

Got a project in mind? Email us at hello@thenadraagency.com.

#socialproof #startuplife #customerfeedback #brandgrowth #webdesignstrategy #onlinemarketingtips #businessgrowth #conversionrateoptimization #startupsupport #testimonialstrategy",0,"12/25/2024 05:00",https://www.instagram.com/p/DEAJLdaBKla/,"IG carousel",,Lifetime,15,13,3,0,0,0,
18031681598404151,17841463906774827,nadraqamaria,"Nadra Qamaria","Read more ↓↓

I have so many thoughts and ideas, but my friends can only listen to so much lol.

So I journal, and I do it every day.

I love looking back at old entries from specific moments in my life and comparing them to today.

The growth you notice makes you think.

Six months ago, I was in Germany living chaotic, unstructured days that either ended in hangovers or 10-hour train rides.

I was scared but also so, so enlightened. The highlight of my 2024 honestly.

Today, I’m living with a daily routine and letting the work speak for me.

From past journal entries, I rediscovered the art of observing and humbled myself by how massive life is.

(and how small we are in the grand scheme of things)

Imagine the growth you’d notice in yourself if you started writing 6 months ago.

So start writing now. Journaling’s fun for us crazy psychoanalysts……

#selfgrowth #journaling #introspection #personaldevelopment #mindsetmatters #creativewriting #selfawareness #personalgrowthjourney #reflectandgrow #lifelessons",3,"12/24/2024 03:00",https://www.instagram.com/reel/DD9WrnVvJg-/,"IG reel",,Lifetime,196,194,3,0,0,0,271
17905471995066610,17841463906774827,nadraqamaria,"Nadra Qamaria","In the time it takes a big agency to ‘circle back,’ we’ve already delivered.

We understand startups. You need fast results at a reasonable cost.

That’s why we keep our processes lean and flexible with a close-knit team.

Though if you indeed have the luxuries of budget and time, those bigger agencies are worth considering.

That’s because TNA is made for the underdogs—the broke and witty entrepreneurs.

If you think we could do something great together, my DMs are open.

--

The Nadra Agency (TNA) helps businesses double their revenue with high-converting landing page design.

Got a project in mind? Email us at hello@thenadraagency.com.

#startupgrowth #leanstartup #entrepreneurship #startuplife #smallbusinessowner #foundersfirst #growthhacking #zerotoone #fastresults #startupagency",0,"12/19/2024 02:00",https://www.instagram.com/p/DDwXxqki2uQ/,"IG image",,Lifetime,27,23,4,0,0,0,
18044651495330495,17841463906774827,nadraqamaria,"Nadra Qamaria","SEO !!!

By now, you should know what it stands for (Search Engine Optimization) and that it can help your business get the attention it needs.

But how do you do SEO correctly for your own startup?

Based on your business model, industry, and other impactful factors, you must consider the angle of which you should implement SEO in your website.

For example, for creative industries, focus on optimising your images and videos to be high quality but fast loading.

For startups in tech, focus on bite-sized content with strategic keyword placement.

Use this guide to help you come up with your own strategy ;)

--

The Nadra Agency (TNA) helps businesses double their revenue with high-converting landing page design.

Got a project in mind? Email us at hello@thenadraagency.com.

#startuptips #digitalmarketing #seooptimization #growthhacking #founderjourney #websitedesign #conversionoptimization #startupmarketing #contentstrategy #scalingstartups",0,"12/18/2024 03:00",https://www.instagram.com/p/DDt55NmCzkg/,"IG carousel",,Lifetime,23,18,4,0,0,0,
17920422849002182,17841463906774827,nadraqamaria,"Nadra Qamaria","Read more 👇🏽

Productivity is not hardcore hustle all the time. To me, productivity is time spent with intention.

On Saturdays, I teach kids to play the ukulele, cycle, and spoil myself with a movie or play the guitar.

On Sundays, it’s either a day with the family or an adventurous hike in nature.

I end the evening with a good read or video game.

Been feeling more refreshed on Mondays recently.

Solo founders need to spoil themselves too!

How do you like your weekends? :-)

#productivitytips #weekendvibes #worklifebalance #founderlife #mindsetmatters #growthmindset #intentionalliving #personaldevelopment #mentalhealthmatters #startuplife",3,"12/17/2024 03:00",https://www.instagram.com/reel/DDrVFy_z7YJ/,"IG reel",,Lifetime,195,193,7,0,0,0,263
18014986169440372,17841463906774827,nadraqamaria,"Nadra Qamaria","Off the top of my head, there are three things every high-converting landing page needs:

🔸 Strong brand positioning

🔸 Simplicity in design

🔸 A startup story that resonates

But one thing beats them all: Your irresistible offer.

Consumers crave instant gratification.

They need to know exactly what they’re getting from you, and they need it fast.

Use it on your website, in your content, and even in cold outreach.

The offer is your hook to pull customers in.

Got your irresistible offer now? Now present it on your landing page in a way that your customers cannot say “no”!

Let’s make that happen.

Send me a DM and let’s start turning your website into a sales machine ;)

--

The Nadra Agency (TNA) helps businesses double their revenue with high-converting landing page design.

Got a project in mind? Email us at hello@thenadraagency.com.

#conversionoptimization #founderjourney #salesfunnels",0,"12/12/2024 03:00",https://www.instagram.com/p/DDedE-jodsN/,"IG image",,Lifetime,22,18,3,0,0,0,
18051863842830450,17841463906774827,nadraqamaria,"Nadra Qamaria","Your customers are not stupid. They can tell if you’re selling trash.

Your job is to prove to them that your product isn’t just gimmick on the market.

Instead, it’s the solution to their biggest problem.

Use how you design and write for your audience:

🔸 Show customers that you get it. Validate their struggle.

🔸 In one sentence, tell them exactly how your product makes their life better.

🔸 Highlight the features that solve their problem.

Use your customers’ problem to communicate your product effectively to them.

When you truly solve, your product sells itself.

--

The Nadra Agency (TNA) helps businesses double their revenue with high-converting landing page design.

Got a project in mind? Email us at hello@thenadraagency.com.

#startuptips #websitedesign #saasmarketing #conversionoptimization #uxwriting #customerfirst #digitalmarketing #growthhacking #productdesign #copywritingtips",0,"12/11/2024 06:00",https://www.instagram.com/p/DDcM7TftHAw/,"IG carousel",,Lifetime,16,13,4,0,0,0,
